Name		|id	|Cost	|Type	|Group	|ArendaInfo

Start		|0	|*		|0		|*		|*
Police		|10	|*		|0		|*		|*
Market		|20	|*		|0		|*		|*
Police		|30	|*		|0		|*		|*

Tax 2M      |4	|*		|6		|*		|*
Tax 1M      |38	|*		|6		|*		|*

Rand2		|2	|*		|4		|*		|*
Rand7		|7	|*		|4		|*		|*
Rand17		|17	|*		|4		|*		|*
Rand22		|22	|*		|4		|*		|*
Rand33		|33	|*		|4		|*		|*
Rand36		|36	|*		|4		|*		|*

Trans1		|5	|2000000|2		|11		|250;500;1000;2000     
Trans2		|15	|2000000|2		|11		|250;500;1000;2000                                                                                   |
Trans3		|25	|2000000|2		|11		|250;500;1000;2000                                                                                   |
Trans4		|35	|2000000|2		|11		|250;500;1000;2000                                                                                   |
Solar Power	|12	|1500000|3		|33		|40
Wind Power  |28	|1500000|3		|33		|40|

Spain1		|1	|200000	|1		|1		|20;100;300;900;1600;2500                                                                            |
Spain2		|3	|600000	|1		|1		|40;200;600;1800;3200;4500                                                                           |

Greece1		|6	|1000000|1		|2		|60;300;900;2700;4000;5500                                                                           |
Greece2		|8	|1000000|1		|2		|60;300;900;2700;4000;5500                                                                           |
Greece3		|9	|1200000|1		|2		|80;400;1000;3000;4500;6000                                                                          |

Italy1		|11	|1400000|1		|3		|100;500;1500;4500;6250;7500                                                                         |
Italy2		|13	|1400000|1		|3		|100;500;1500;4500;6250;7500                                                                         |
Italy3		|14	|1600000|1		|3		|120;600;1800;5000;7000;9000                                                                         |

Eng1		|16	|1800000|1		|4		|140;700;2000;5500;7500;9500                                                                         |
Eng2		|18	|1800000|1		|4		|140;700;2000;5500;7500;9500                                                                         |
Eng3		|19	|2000000|1		|4		|160;800;2200;6000;8000;10000                                                                        |

Russia1		|21	|2200000|1		|5		|180;900;2500;7000;8750;10500                                                                        |
Russia2		|23	|2200000|1		|5		|180;900;2500;7000;8750;10500                                                                        |
Russia3		|24	|2400000|1		|5		|200;1000;3000;7500;9250;11000                                                                       |

France1		|26	|2600000|1		|6		|220;1100;3300;8000;9750;11500                                                                       |
France2		|27	|2600000|1		|6		|220;1100;3300;8000;9750;11500                                                                       |
France3		|29	|2800000|1		|6		|240;1200;3600;8500;10250;12000                                                                      |

Usa1		|31	|3000000|1		|7		|260;1300;3900;9000;11000;12750                                                                      |
Usa2		|32	|3000000|1		|7		|260;1300;3900;9000;11000;12750                                                                      |
Usa3		|34	|3200000|1		|7		|280;1500;4500;10000;12000;14000                                                                      |

Japan1		|37	|3500000|1		|8		|350;1750;5000;11000;13000;15000                                                                     |
Japan2		|39	|4000000|1		|8		|500;2000;6000;14000;17000;20000                                                                     |
